pl_rade,pl_bmasse,pl_eqt,pl_orbper,pl_orbsmax,st_spectype,st_teff,st_met
18.495,508.528,1884.0,2.18056,0.037,F6 V,6257.0,0.14
14.572,273.3338,1587.0,3.20466,0.046,G2 V,5630.0,0.34
5.68,21.0,767.0,20.8851,0.154,G3,5743.0,0.42
7.82,27.0,606.0,42.3633,0.247,G3,5743.0,0.42
3.44,24.5,494.0,3.48456408,0.0287,M4.5 V,3207.0,0.15
17.396,451.3186,1957.0,2.6266657,0.0404,F6 V,6367.0,-0.14
9.528,70.87609,1080.0,11.63344,0.102,G7 IV/V,5537.0,0.36
2.41,14.8,470.0,50.818947,0.2573,G9 V,5368.0,-0.08
2.59,9.68,1089.0,3.471745,0.03817,K2 V,4975.0,0.0
3.53,15.68,741.0,7.138048,0.0824,K2 V,4975.0,0.0
2.48,6.5,620.0,10.45582,0.1178,K2 V,4975.0,0.0
1.95,10.7,501.0,14.76289,0.18041,K2 V,4975.0,0.0
11.209,194.82979,1076.0,3.2589263,0.04097,K1 V,5222.0,0.0
13.339,232.0159,1171.0,3.2588321,0.04217,G7 V,5358.0,0.16
2.63,24.5,795.0,16.9841,0.13,G3 V,5725.0,0.07
10.054,106.47305,852.0,4.024867,0.0451,K5 V,4444.0,0.14
2.078,5.11,501.0,10.0546535,0.0747,M V,3844.0,-0.157
1.582,2.68,372.0,24.646729,0.1357,M V,3844.0,-0.157
1.458,2.2,305.0,44.55603,0.2014,M V,3844.0,-0.157
13.406,198.00809,1185.0,4.098507,0.04986,G8 V,5581.0,0.136
11.646,184.02357,1092.0,4.098503,0.04839,G6 V,5425.0,-0.15
11.982,187.20187,1203.0,4.09849,0.0419,G,5575.0,0.06
15.435,539.67534,1715.0,2.995629,0.0465,F,6149.0,0.0
15.132,559.3808,1742.0,2.995607,0.04419,F9 V,6132.0,0.24
1.55,12.0,1184.0,4.01593,0.0506,G2 V,5757.0,0.28
1.54,7.3,1266.0,4.01593,0.04994,G2 V,5731.0,0.26
2.42,9.9,858.0,10.56103,0.0964,G2 V,5757.0,0.28
2.29,8.3,916.0,10.56103,0.09514,G2 V,5731.0,0.26
1.015,7.5,412.0,4.0179694,0.027,M5 V,3173.0,-0.13
7.656,135.39558,1400.0,3.00265,0.045,G4 V,5500.0,0.01
4.3,32.2,1102.0,10.13675,0.0943,F8 V,6120.0,-0.2
15.681,215.80657,1377.0,4.1662739,0.0525,G0 V,5948.0,0.09
19.537,408.09372,1970.0,1.7100566,0.03005,G4,5720.0,0.32
15.861,874.0325,2453.0,0.9689951,0.02044,F7 V,6236.0,-0.002
17.094,416.3573,2087.0,3.0801716,0.04881,A,7454.0,-0.018
17.598,375.0394,2085.0,2.8717518,0.0455,F4 V,6670.0,0.09
21.409,1293.5681,1935.0,4.6117093,0.0637,A8 V,7500.0,-0.12
20.512,5403.11,2260.0,3.474119,0.057,A2,8980.0,-0.02
19.515,1074.90106,2262.0,3.4741085,0.0542,A2 V,8720.0,-0.29
17.777,1242.7153,2051.0,3.6127647,0.05224,A8 V,7598.0,-0.405
14.83,298.12454,1561.0,2.255251,0.03302,G2 V,5899.0,-0.105
15.244,1334.87931,1473.0,5.55149,0.067,F7,6415.0,0.09
19.044,286.68266,1823.0,2.9895932,0.04317,F,6206.0,-0.116
13.372,136.661,1313.0,7.8457,0.07939,F8,6102.0,-0.281
17.183,406.8224,2048.0,2.7347749,0.04415,F,6789.0,0.139
20.849,275.55861,1675.0,3.24406,0.04571,G2 V,5754.0,0.272
21.196,915.3504,4050.0,1.4811235,0.03462,B9.5-A0,10170.0,-0.03
10.54,460.83,511.0,86.647661,0.382,G5 V,5520.0,0.27
11.545,346.4347,1459.0,1.706291,0.0269,K1 V,5165.0,0.22
5.77,51.1,1513.0,3.4876812,0.0474,G3 IV,5667.0,0.33
1.25,3.78,1413.0,6.02976,0.0684,G3 IV,5667.0,0.33
8.059,29.875,984.0,18.7959228,0.1445,F8 V,6150.0,-0.04
12.341,584.78,704.0,50.790391,0.2804,F8 V,6150.0,-0.04
9.18,158.915,206.0,1047.8356,2.026,G5 V,5597.0,-0.088
3.87,17.0,243.0,175.06,0.633,K,5100.0,-0.12
1.635,10.4,1956.0,2.785755,0.042507,F6 IV,6131.0,-0.15
2.38,36.0,262.0,289.8623,0.849,G5 V,5518.0,-0.29
4.3,122.0,475.0,105.599,0.4632,G4 V,5623.0,-0.11
13.68,5720.7,905.0,21.0874,0.155,F7 IV,6260.0,-0.29
13.9,6388.1,897.0,21.08721,0.164,F7 V,6350.0,0.1
13.11,699.2,1620.0,6.87349,0.08,F5 IV,6510.0,0.1
14.46,177.98,1790.0,1.8555582,0.03101,G2 V,5750.0,0.38
9.98,174.8,1730.0,1.855558,0.03,G6 V,5620.0,0.29
13.361,189.101,1605.0,2.6843285,0.03585,G4 V,5560.0,-0.1
10.962,79.45,1070.0,3.79701816,0.0464,K1 V,5170.0,0.24
12.22,108.06,1300.0,3.21751883,0.0414,G1 V,5725.0,-0.21
13.79,92.17,1100.0,10.290994,0.091,G2 V,5800.0,-0.19
12.11,403.63,1070.0,3.52563254,0.0433,K1 V,5150.0,0.09
13.45,1026.55,1637.0,3.024095,0.0449,G0 IV-V,6041.0,0.33
13.0,994.77,1628.0,3.02409309,0.0444,F8 V,6050.0,0.4
12.22,317.82,1544.0,3.2467293,0.0446,G2 IV,5800.0,0.15
13.9,324.17,1603.0,3.24674,0.0455,G2 IV,5757.0,0.26
10.76,160.497,1000.0,2.455239,0.03,M,3820.0,0.28
8.373,308.2951,388.0,125.63243,0.4988,G2 V,5820.0,-0.01
1.31,9.0,750.0,5.714932,0.0553,K2 V,4925.0,-0.37
0.54,4.0,578.0,12.4417,0.0929,K2 V,4925.0,-0.37
1.95,14.0,510.0,18.16406,0.12,K2 V,4925.0,-0.37
1.61,36.0,270.0,122.3874,0.427,K2 V,4925.0,-0.37
1.41,35.0,208.0,267.291,0.718,K2 V,4925.0,-0.37
14.8,216.12,1250.0,7.340718,0.084,F8 V,6050.0,0.34
10.76,200.22,1078.0,7.340711,0.0781,F8 V,6000.0,0.42
11.77,3209.9,767.0,8.8849116,0.0818,K0 V,5200.0,0.3
11.55,3146.4,850.0,8.884924,0.08,G8 V,5330.0,-0.07
10.761,136.661,1440.0,3.57878087,0.04501,G5 V,5520.0,0.2
1.63,4.07,998.0,1.40152604,0.0208,M0.5 V,3842.0,-0.03
1.39,4.6,965.0,1.4015,0.02091,M1 V,3800.0,0.04
0.85,0.4,627.0,2.2531136,0.02191,M3 V,3415.0,-0.46
0.8,1.01,610.0,2.2531,0.02282,M3 V,3412.0,-0.5
1.385,2.22,553.0,3.6906777,0.0304,M3 V,3415.0,-0.46
1.35,2.42,517.0,3.6904,0.0317,M3 V,3412.0,-0.5
1.521,1.94,416.0,7.4507245,0.0486,M3 V,3415.0,-0.46
1.57,2.31,409.0,7.4512,0.0506,M3 V,3412.0,-0.5
1.73,5.6,226.0,24.73723,0.0946,M4.5 V,3096.0,-0.15
1.43,6.65,230.0,24.73712,0.0875,M4.5 V,3131.0,-0.24
1.272,1.91,422.0,3.77794,0.027,M4.5 V,3096.0,-0.15
1.242,2.33,595.0,1.9495378,0.01848,m3 V,3381.0,-0.13
1.088,8.7,617.0,3.81433,0.0404,M1,3643.0,-0.12
4.7,30.8,700.0,4.052037,0.0417,M0.0 V,3950.0,0.41
2.438,7.1,324.0,4.9899093,0.02961,M(6.1 +/- 0.7) V,2960.0,-0.09
1.032,0.9,396.0,2.753436,0.01992,M(6.1 +/- 0.7) V,2960.0,-0.09
1.32,13.2,396.0,2.7299025,0.01875,M6 V,2850.0,-0.028
1.367,25.3,272.0,8.457463,0.03984,M6 V,2850.0,-0.028
1.332,2.62,892.0,0.768448,0.01211,M4 V,3331.0,0.28
1.35,2.34,1000.0,0.768377,0.01203,M3.5 V,3360.0,0.09
2.42,6.29,397.0,12.252131,0.0762,M3.5 V,3360.0,0.09
2.3,8.6,353.0,12.2519,0.07673,M4 V,3331.0,0.28
4.72,29.32,1978.0,0.792052,0.01679,G7 V,5443.0,0.27
16.814,1175.971,2570.0,2.14878,0.043,A8,7554.0,0.0
17.15,985.273,2100.0,2.82406,0.047,A7 V,7800.0,0.0
14.908,258.07796,790.0,2.647298,0.0326,M0.5,3916.0,0.0
13.507,687.14846,1332.0,0.7668944,0.0143,K5 V,4600.0,-0.02
9.158,109.33352,435.0,35.45533,0.201,K,5050.0,0.22
11.747,66.10864,1257.0,7.532806,0.0757,G,5690.0,-0.03
4.977,29.24036,1143.0,3.5357173,0.0403,K1 V,5187.0,0.1
12.33,238.68913,1146.0,3.27623,0.0441,G6 V,5600.0,0.15
14.572,211.99155,1177.0,4.84532,0.0523,G7 V,5550.0,0.35
13.899,242.8209,1457.0,3.24253,0.0391,G4 V,5650.0,0.15
13.563,129.99182,1381.0,3.05125,0.0448,G5 V,5610.0,0.15
17.878,235.1942,1468.0,4.511164,0.063,F5 V,6478.0,-0.06
11.994,947.12865,688.0,54.18915,0.313,G1 IV,5980.0,0.15
14.908,750.07504,1357.0,1.5433897,0.0236,K3 V,4660.0,-0.26
14.202,194.82881,1327.0,4.0764326,0.0504,F9 V,6057.0,-0.26
13.608,165.27077,1499.0,3.4678796,0.0479,G2 IV,5820.0,0.27
11.467,203.09235,1101.0,2.823093,0.0388,K0 V,5321.0,0.12
12.733,72.78307,952.0,3.3569866,0.0382,K2 V,4987.0,0.12
12.218,295.5819,1345.0,2.4997,0.035,K0 V,5241.0,0.24
11.994,921.707,1448.0,4.43527,0.058,F8 V,6330.0,0.31
6.18,169.0,481.0,138.317,0.652,F,6407.0,0.21
17.295,233.92288,1955.0,1.645321,0.0286,F7 V,6124.0,0.016
12.285,1369.8473,1681.0,2.5079204,0.03783,G0 V,6007.0,-0.041
12.722,1938.763,1385.0,1.8053564,0.02803,K1 V,5215.0,0.103
12.408,1373.0256,1415.0,2.8792319,0.04127,G2 V,5747.0,0.377
11.904,212.31044,1006.0,3.506195,0.0423,K2 V,5052.0,-0.025
19.055,597.5204,2053.0,2.032046,0.0352,F4 V,6387.0,0.276
